MOFname,linker-SMILES,RDKitLinkerSanity
j.inoche.2015.02.023_INC05895-mmc1_clean,['C(=O)(c1cc(C(=O)[O])c[c]c1)[O].[C@@]123[C@H]4[C@H]5[C@]6([C@@H]7[C@H]1[C@H]3[C@H]67)[C@H]5[C@@H]24.[C@@]123[C@H]4[C@H]5[C@@]6([C@@H]7[C@H]1[C@H]2[C@H]67)[C@H]5[C@@H]34.[c]1cc(cc(c1)C(=O)[O])C(=O)[O]'],True
j.inoche.2015.03.015_inc05912-mmc1_clean,['[N]1=[C](=[N]=[C](=[N]=[C]=1Oc1ccc(cc1)C(=O)[O])Oc1ccc(cc1)C(=O)[O])Oc1ccc(cc1)C(=O)[O]'],False
j.inoche.2015.03.024_inc05921-mmc1_clean,['n1([C@H]2[C@H](n3cnnc3)CCCC2)cnnc1'],True
j.inoche.2015.03.026_2_clean,,
j.inoche.2015.03.028_inc05925-mmc2_clean,['c1cc(ccn1)C(=O)Nc1cc(cc(c1)C(=O)[O])C(=O)[O]'],True
j.inoche.2015.03.033_inc05930-mmc2_clean,['c1(/C/2=c/3\\cc/c(=C(\\c4cc(c(c(c4)F)F)F)/C4=N/C(=C(/c5ccncc5)\\c5ccc(/C(=C\\6/C=CC2=N6)/c2cc(F)c(c(c2)F)F)[n]5)/C=C4)/[n]3)ccncc1'],True
j.inoche.2015.03.033_inc05930-mmc4_clean,['C\\1(=c\\2/cc/c(=C(/C3=N/C(=C(\\c4ccc(/C(=C\\5/C=CC1=N5)/c1ccncc1)[n]4)/c1cc(c(c(c1)N(C)C)F)F)/C=C3)\\c1ccncc1)/[n]2)/c1cc(c(c(c1)N(C)C)F)F'],True
j.inoche.2015.03.054_CIFs_clean,['c1cc(ccc1c1n[n]nn1)c1n[n]nn1'],True
j.inoche.2015.05.017_inc05998-mmc2_clean,"['O=C([O])c1ccc(cc1)C(C(F)(F)F)(C(F)(F)F)c1ccc(cc1)C(=O)[O]', 'c1n(ccn1)c1ccc(s1)c1sc(n2cncc2)cc1', 'CC#N']",True
j.inoche.2015.06.004_1_clean,"['P(=O)([C@]([P@](=O)(O)[O])(Cn1cncc1)O)([O])[O]', 'c1c(c2ccncc2)ccnc1']",True
j.inoche.2015.06.008_inc06013-mmc1_clean,"['O=C([O])c1ccc([C@@H]2C=CN(C=C2)Cc2cc(ccc2)C(=O)[O])cc1', '[N][N][N]']",True
j.inoche.2015.06.036_inc06102-mmc1_clean,"['C(=O)(c1c([N])c([N])c(C(=O)[O])c(c1[N])[N])[O]', '[N]c1c(C(=O)[O])cc([N])c(C(=O)[O])c1']",True
j.inoche.2015.06.036_inc06102-mmc2_clean,"['C(=O)(c1c(c([N])c(C(=O)[O])c(c1[N])[N])[N])[O]', 'C(=O)(c1c(cc(C(=O)[O])c(c1)[N])[N])[O]']",True
j.inoche.2015.06.036_inc06102-mmc3_clean,"['C(=O)(c1c(c(c(C(=O)[O])c(c1[N])[N])[N])[N])[O]', 'C(=O)(c1cc(c(cc1[N])C(=O)[O])[N])[O]']",True
j.inoche.2015.07.018_compound1_clean,['c1(C(=O)[O])cc(cc(S([O])([O])[O])c1)C(=O)[O]'],True
j.inoche.2015.07.018_compound2_clean,['[O]C(=O)c1cc(cc(c1)C(=O)[O])S([O])([O])[O]'],True
j.inoche.2015.08.009_inc06079-mmc2_clean,['c1(c(C)[nH]nc1C)c1c([nH]nc1C)C'],True
j.inoche.2015.08.009_inc06079-mmc3_clean,['c1(c(Cc2c(C)n[nH]c2C)c(C)[nH]n1)C'],True
j.inoche.2015.08.009_inc06079-mmc5_clean,['c1(c(c(C)[nH]n1)Cc1c(C)n[nH]c1C)C'],True
j.inoche.2015.12.004_inc06186-mmc2_clean,['[C]1[C]2[C]([C]1)[C@]12[C]2[C]([C][C]12)[C].C(=O)(c1cc(C(=O)[O])c[c]c1)[O].[c]1n[n]nn1'],True
j.inoche.2015.12.009_inc06191-mmc2_clean,['C(=O)(c1ccc(cc1)/N=C/c1ncc[n]1)[O]'],True
j.inoche.2015.12.010_inc06192-mmc1_clean,['c1(/C/2=c/3\\cc/c(=C(\\c4ccc(cc4)n4cccn4)/C4=N/C(=C(/c5ccc(cc5)n5cccn5)\\c5ccc(/C(=C\\6/C=CC2=N6)/c2ccc(cc2)n2cccn2)[n]5)/C=C4)/[n]3)ccc(cc1)n1cccn1'],True
j.inoche.2015.12.019_1_clean,"['[O]C(=O)c1cc(cc(c1)C(=O)[O])[O]', 'c1nccc(c2ccncc2)c1']",True
j.inoche.2016.08.006_submitCIF_clean,['C1(=O)N2[C@@H]3[C@@H]4N1CN1C(=O)N5[C@H]6[C@@H]1N1CN4C(=O)N3CN3[C@@H]4[C@H]7N(CN8C(=O)N9CN%10C(=O)N%11CN%12C(=O)N%13CN%14C(=O)N(C5)[C@@H]5[C@H]%14N(C(=O)N5CN6C1=O)CN1[C@H]%13[C@H]%12N(C1=O)CN1[C@H]%11[C@H]%10N(C1=O)CN1[C@@H]9[C@@H]8N(C1=O)CN7C3=O)C(=O)N4C2'],True
j.inoche.2016.10.021_inc06458-mmc3_clean,['c1cc(ccn1)/C=N/N=C/c1ccncc1'],True
j.inoche.2016.10.021_inc06458-mmc4_clean,"['c1cnccc1/C=N/N=C/c1ccncc1', 'C(=O)(c1cc(ccc1)C(=O)[O])[O]']",True
j.inoche.2016.10.028_Zn1_clean,,
JIQVAH_clean,"['c12c(c3c(c4c1nccn4)nccn3)nccn2', 'N#[C]']",True
JISVAJ_clean,['C(=O)(c1cc(c2cc(C(=O)[O])ccn2)ncc1)[O]'],True
JITPOS_SL,"['S([O])(c1c(C(=O)[O])ccc(c1)C(=O)[O])([O])[O]', 'c1cc(ccn1)c1ccncc1']",True
JITQEI_clean,['c1cc(ccn1)C#Cc1ccncc1'],True
JIVFUQ_clean,['[P@](=O)(c1c(cc([P@@](=O)(O)[O])c(c1)O)O)(O)[O]'],True
JIVHIG_clean,"['c1(c(cccc1)C(C)C)[O]', 'O1CCOCC1', 'O=O']",True
JIVSEN_clean,"['C(=O)(c1ccncc1)[O]', 'c1cccc(c1C(=O)[O])C(=O)[O]']",True
JIWKUW_clean,['c1(c(cc(C)cc1CN(CC(=O)[O])CC(=O)[O])CN(CC(=O)[O])CC(=O)[O])[O]'],True
JIXWUJ01_clean,['C(=O)[O]'],True
JIXWUJ_clean,['[O]C=O'],True
JIYXUL_clean,"['[Sb]([O])([O])[O]', 'C(=O)(C(=O)[O])[O]']",True
JIZJAF_clean,"['C(=O)([C@@H]([O])C)[O]', '[O]C(=O)c1ccc(cc1)c1ccncc1']",True
JIZJEJ_clean,"['C(=O)([C@@H]([O])C)[O]', '[O]C(=O)c1ccc(cc1)c1ccncc1']",True
JIZJOT_clean,"['[O]C(=O)c1ccc(c2ccncc2)cc1', 'C(=O)([C@@H](C)[O])[O]']",True
JIZJUZ_clean,"['c1(ccc(C(=O)[O])cc1)c1ccncc1', 'C(=O)([C@@H]([O])C)[O]']",True
JIZWEW_clean,['[C]1[C][C]([C][C][C]1[C]([O])[O])C(=O)[O]'],True
JIZWIA_clean,['C(=O)([C]1[C][C][C]([C][C]1)C(=O)[O])[O]'],True
JIZWOG_clean,['O=C([C]1[C][C][C]([C][C]1)C(=O)[O])[O]'],True
j.jlumin.2016.09.057_mmc2_clean,"['C(=O)(c1ccc(cc1)S(=O)(=O)c1ccc(C(=O)[O])cc1)[O]', 'O=N(=O)[O]']",True
j.jssc.2014.06.006_934273-934279_compounds_clean,['[O]C(=O)c1cc(C(=O)[O])cc(C(=O)[O])c1'],True
j.jssc.2014.11.015_mmc2_clean,['n1cn(cc1)c1ccc(n2cncc2)cc1'],True
j.jssc.2014.12.012_111202b_0m_clean,"['C(=O)(c1cc(cc(c1)O)C(=O)[O])[O]', 'n1ccc(cc1)[C]([N]/N=C(\\C)/c1ccncc1)C']",True
