,MOFname,cp,edge_group_selfie,node_selfie,topo,tokenized_edge_selfies,edge_lens,node_plus_topo,tokenized_node_plus_topo,node_plus_topo_lens,mof_string,tokenized_mof_string,mof_string_lens,edge_smile
146,dia_N164_edge23582,0.8977643705064231,[FrH0][C][=C][C][Branch][:2pyridine][pop][C][C][Branch][:2pyridine][pop][FrH0],[Fr][C][O][In][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C],dia,"[64, 61, 52, 61, 60, 36, 72, 61, 61, 60, 36, 72, 64]",13,[Fr][C][O][In][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][dia],"[34, 22, 48, 39, 20, 55, 48, 54, 55, 20, 6, 48, 22, 20, 22, 34, 48, 54, 5, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 48, 22, 20, 22, 34, 48, 54, 7, 4, 76]",39,[FrH0][C][=C][C][Branch][:2pyridine][pop][C][C][Branch][:2pyridine][pop][FrH0][.][Fr][C][O][In][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][dia],"[89, 75, 58, 75, 74, 40, 148, 75, 75, 74, 40, 148, 89, 8, 90, 75, 104, 95, 72, 111, 104, 110, 111, 72, 56, 104, 75, 72, 75, 90, 104, 110, 55, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 104, 75, 72, 75, 90, 104, 110, 58, 6, 133]",54,[Fr]C=CC(CC([Fr])c1ccncc1)c1ccncc1
147,utp_N76_edge78631,0.5907668775177604,[Br][C][=C][C][=Branch][=C][Branch][C][Branch][FrH0][pop][Branch][Br][pop][Br][pop][Ring1][Ring2][pop][FrH0],[Fr][C][O][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][Ring2][Ring1][=Branch1],utp,"[59, 61, 52, 61, 51, 52, 60, 61, 60, 64, 72, 60, 59, 72, 59, 72, 68, 69, 72, 64]",20,[Fr][C][O][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][Ring2][Ring1][=Branch1][&&][utp],"[34, 22, 48, 65, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 20, 2, 48, 22, 20, 22, 34, 48, 55, 54, 54, 48, 55, 54, 5, 4, 102]",47,[Br][C][=C][C][=Branch][=C][Branch][C][Branch][FrH0][pop][Branch][Br][pop][Br][pop][Ring1][Ring2][pop][FrH0][.][Fr][C][O][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][O][Ring2][Ring1][=Branch1][&&][utp],"[71, 75, 58, 75, 57, 58, 74, 75, 74, 89, 148, 74, 71, 148, 71, 148, 110, 111, 148, 89, 8, 90, 75, 104, 122, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 72, 2, 104, 75, 72, 75, 90, 104, 111, 110, 110, 104, 111, 110, 55, 6, 160]",69,BrC1=CC([Fr])=C1C(Br)(Br)[Fr]
148,lvt_N29_edge74128,0.6775862938504987,[S][C][=C][N][Branch][C][Branch][C][Branch][C][Branch][FrH0][pop][Branch][S][pop][Ring1][=Branch][pop][Branch][S][pop][S][pop][Branch][S][pop][S][pop][FrH0],[ClH0][Mn][O][C][Branch1][C][Fr][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][C][ClH0][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],lvt,"[71, 61, 52, 65, 60, 61, 60, 61, 60, 61, 60, 64, 72, 60, 71, 72, 68, 51, 72, 60, 71, 72, 71, 72, 60, 71, 72, 71, 72, 64]",30,[ClH0][Mn][O][C][Branch1][C][Fr][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][C][ClH0][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[25, 43, 48, 22, 20, 22, 34, 48, 43, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 20, 22, 25, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 86]",43,[S][C][=C][N][Branch][C][Branch][C][Branch][C][Branch][FrH0][pop][Branch][S][pop][Ring1][=Branch][pop][Branch][S][pop][S][pop][Branch][S][pop][S][pop][FrH0][.][ClH0][Mn][O][C][Branch1][C][Fr][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][C][ClH0][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][lvt],"[113, 75, 58, 101, 74, 75, 74, 75, 74, 75, 74, 89, 148, 74, 113, 148, 110, 57, 148, 74, 113, 148, 113, 148, 74, 113, 148, 113, 148, 89, 8, 78, 99, 104, 75, 72, 75, 90, 104, 99, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 72, 75, 78, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 143]",75,SC1=CN([Fr])C(S)(S)C(S)(S)C1(S)[Fr]
149,eta_N246_edge209538,0.795302432180286,[FrH0][:1benzenealcohol][=Branch][C][=C][C][=Branch][=C][S][Ring1][Branch][pop][FrH0][pop][=Branch][S][C][pop],[Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][Ring2][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O],eta,"[64, 25, 51, 61, 52, 61, 51, 52, 71, 68, 60, 72, 64, 72, 51, 71, 61, 72]",18,[Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][Ring2][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][&&][eta],"[34, 22, 48, 65, 48, 22, 20, 22, 34, 48, 65, 20, 55, 48, 54, 6, 48, 22, 20, 22, 34, 48, 54, 48, 4, 79]",26,[FrH0][:1benzenealcohol][=Branch][C][=C][C][=Branch][=C][S][Ring1][Branch][pop][FrH0][pop][=Branch][S][C][pop][.][Fr][C][O][Zn][O][C][Branch1][C][Fr][O][Zn][Branch1][Ring2][O][Ring1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][O][&&][eta],"[89, 29, 57, 75, 58, 75, 57, 58, 113, 110, 74, 148, 89, 148, 57, 113, 75, 148, 8, 90, 75, 104, 122, 104, 75, 72, 75, 90, 104, 122, 72, 111, 104, 110, 56, 104, 75, 72, 75, 90, 104, 110, 104, 6, 136]",46,CSc1cc([Fr])cc(Oc2cc([Fr])cs2)c1
150,reo_N35_edge47207,0.717051119288408,[S][=C][C][=C][Branch][N][C][Branch][C][Branch][C][=S][pop][Ring1][Branch][pop][Branch][C][=S][pop][FrH0][pop][FrH0],[Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch2][Ring1][P][O][C][Branch1][C][Fr][O][Co][Branch1][Branch1][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][P],reo,"[71, 52, 61, 52, 60, 65, 61, 60, 61, 60, 61, 58, 72, 68, 60, 72, 60, 61, 58, 72, 64, 72, 64]",23,[Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch2][Ring1][P][O][C][Branch1][C][Fr][O][Co][Branch1][Branch1][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][P][&&][reo],"[34, 22, 48, 26, 48, 22, 20, 22, 34, 48, 26, 21, 20, 55, 48, 22, 20, 22, 34, 48, 26, 21, 54, 49, 48, 22, 20, 22, 34, 48, 26, 20, 20, 48, 55, 54, 54, 20, 2, 48, 22, 20, 22, 34, 48, 55, 54, 20, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 21, 48, 22, 20, 22, 34, 48, 55, 54, 49, 4, 92]",76,[S][=C][C][=C][Branch][N][C][Branch][C][Branch][C][=S][pop][Ring1][Branch][pop][Branch][C][=S][pop][FrH0][pop][FrH0][.][Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch2][Branch1][Ring2][O][C][Branch1][C][Fr][O][Co][Branch2][Ring1][P][O][C][Branch1][C][Fr][O][Co][Branch1][Branch1][O][Ring2][Ring1][Ring1][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][P][&&][reo],"[113, 58, 75, 58, 74, 101, 75, 74, 75, 74, 75, 64, 148, 110, 74, 148, 74, 75, 64, 148, 89, 148, 89, 8, 90, 75, 104, 80, 104, 75, 72, 75, 90, 104, 80, 73, 72, 111, 104, 75, 72, 75, 90, 104, 80, 73, 110, 105, 104, 75, 72, 75, 90, 104, 80, 72, 72, 104, 111, 110, 110, 72, 2, 104, 75, 72, 75, 90, 104, 111, 110, 72, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 73, 104, 75, 72, 75, 90, 104, 111, 110, 105, 6, 150]",101,S=CC1=C([Fr])NC([Fr])(C=S)C1C=S
151,dia_N461_edge177212,0.908583132389326,[FrH0][C][=C][Branch][C][=C][C][Branch][C][Branch][N][=C][Branch][:1alkyne][pop][Ring1][=Branch][pop][=C][=C][FrH0][pop][=C][=C][pop][:1alkyne],[O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring1][=N],dia,"[64, 61, 52, 60, 61, 52, 61, 60, 61, 60, 65, 52, 60, 23, 72, 68, 51, 72, 52, 52, 64, 72, 52, 52, 72, 23]",26,[O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring1][=N][&&][dia],"[48, 7, 20, 22, 34, 48, 23, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 20, 1, 48, 22, 20, 22, 34, 9, 48, 22, 20, 22, 34, 48, 54, 8, 4, 76]",35,[FrH0][C][=C][Branch][C][=C][C][Branch][C][Branch][N][=C][Branch][:1alkyne][pop][Ring1][=Branch][pop][=C][=C][FrH0][pop][=C][=C][pop][:1alkyne][.][O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring1][=N][&&][dia],"[89, 75, 58, 74, 75, 58, 75, 74, 75, 74, 101, 58, 74, 27, 148, 110, 57, 148, 58, 58, 89, 148, 58, 58, 148, 27, 8, 104, 58, 72, 75, 90, 104, 76, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 72, 1, 104, 75, 72, 75, 90, 60, 104, 75, 72, 75, 90, 104, 110, 59, 6, 133]",63,C#CC(=C[Fr])c1cc(=C=C)c(=C=C[Fr])nc1C#C
152,rob_N214_edge188455,0.8457986850116551,[FrH0][C][C][Branch][S][C][pop][C][=C][Branch][C][Branch][FrH0][pop][=C][C][Branch][S][C][pop][S][C][Ring1][P][Ring1][=N][pop][S][C],[Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cu][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1],rob,"[64, 61, 61, 60, 71, 61, 72, 61, 52, 60, 61, 60, 64, 72, 52, 61, 60, 71, 61, 72, 71, 61, 68, 67, 68, 53, 72, 71, 61]",29,[Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cu][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][rob],"[34, 22, 22, 7, 45, 20, 20, 22, 22, 11, 5, 28, 28, 20, 6, 48, 22, 20, 22, 34, 48, 54, 5, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 20, 2, 48, 22, 20, 22, 34, 48, 55, 54, 22, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 4, 94]",67,[FrH0][C][C][Branch][S][C][pop][C][=C][Branch][C][Branch][FrH0][pop][=C][C][Branch][S][C][pop][S][C][Ring1][P][Ring1][=N][pop][S][C][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Cu][Cu][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][rob],"[89, 75, 75, 74, 113, 75, 148, 75, 58, 74, 75, 74, 89, 148, 58, 75, 74, 113, 75, 148, 113, 75, 110, 105, 110, 59, 148, 113, 75, 8, 90, 75, 75, 58, 101, 72, 72, 75, 75, 62, 55, 82, 82, 72, 56, 104, 75, 72, 75, 90, 104, 110, 55, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 72, 2, 104, 75, 72, 75, 90, 104, 111, 110, 75, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 6, 152]",98,CSC1=C2C(SC)C([Fr])C2SC(SC)C=C1[Fr]
153,utk_N519_edge22061,0.9428800870861728,[FrH0][:1methyl_amine][Ring1][=C][=C][C][Branch][C][FrH0][pop][Branch][:1alkyne][pop][:1alkyne][pop],[Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1],utk,"[64, 29, 68, 52, 52, 61, 60, 61, 64, 72, 60, 23, 72, 23, 72]",15,[Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][utk],"[34, 22, 22, 7, 45, 20, 20, 22, 22, 11, 5, 65, 20, 45, 45, 22, 22, 7, 20, 22, 34, 22, 7, 54, 1, 45, 22, 7, 22, 20, 22, 34, 22, 7, 54, 1, 4, 101]",38,[FrH0][:1methyl_amine][Ring1][=C][=C][C][Branch][C][FrH0][pop][Branch][:1alkyne][pop][:1alkyne][pop][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][utk],"[89, 33, 110, 58, 58, 75, 74, 75, 89, 148, 74, 27, 148, 27, 148, 8, 90, 75, 75, 58, 101, 72, 72, 75, 75, 62, 55, 122, 72, 101, 101, 75, 75, 58, 72, 75, 90, 75, 58, 110, 1, 101, 75, 58, 75, 72, 75, 90, 75, 58, 110, 1, 6, 159]",55,C#CC(C#C)(C=C=NC[Fr])C[Fr]
154,lvt_N480_edge102058,0.9071134973721294,[O][C][=C][C][=Branch][=C][Branch][C][Branch][C][Branch][FrH0][pop][O][pop][Branch][O][pop][O][pop][Ring1][Ring2][pop][FrH0],[O][=C][Branch1][C][Fr][O][Co][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1],lvt,"[66, 61, 52, 61, 51, 52, 60, 61, 60, 61, 60, 64, 72, 66, 72, 60, 66, 72, 66, 72, 68, 69, 72, 64]",24,[O][=C][Branch1][C][Fr][O][Co][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][lvt],"[48, 7, 20, 22, 34, 48, 26, 26, 20, 1, 48, 22, 20, 22, 34, 9, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 20, 2, 48, 22, 20, 22, 34, 48, 55, 54, 22, 48, 22, 20, 22, 34, 48, 55, 54, 5, 4, 86]",58,[O][C][=C][C][=Branch][=C][Branch][C][Branch][C][Branch][FrH0][pop][O][pop][Branch][O][pop][O][pop][Ring1][Ring2][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Co][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][lvt],"[104, 75, 58, 75, 57, 58, 74, 75, 74, 75, 74, 89, 148, 104, 148, 74, 104, 148, 104, 148, 110, 111, 148, 89, 8, 104, 58, 72, 75, 90, 104, 80, 80, 72, 1, 104, 75, 72, 75, 90, 60, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 72, 2, 104, 75, 72, 75, 90, 104, 111, 110, 75, 104, 75, 72, 75, 90, 104, 111, 110, 55, 6, 143]",84,OC1=CC([Fr])=C1C(O)(O)C(O)[Fr]
155,neb_N393_edge4937,0.6094016144722014,[:0alkene][C][C][Branch][N][=C][Branch][C][Branch][S][Ring1][Branch][pop][=S][pop][FrH0][pop][FrH0][pop],[Fr][C][Ge][S][Ge][Branch2][Ring1][#Branch2][S][Ge][Branch1][Ring1][C][Fr][Branch1][#C][S][Ge][Branch1][Ring1][C][Fr][Branch1][Ring2][S][Ring1][#Branch2][S][Ring1][=N][S][Ring1][=C][C][Fr],neb,"[7, 61, 61, 60, 65, 52, 60, 61, 60, 71, 68, 60, 72, 58, 72, 64, 72, 64, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",19,[Fr][C][Ge][S][Ge][Branch2][Ring1][#Branch2][S][Ge][Branch1][Ring1][C][Fr][Branch1][#C][S][Ge][Branch1][Ring1][C][Fr][Branch1][Ring2][S][Ring1][#Branch2][S][Ring1][=N][S][Ring1][=C][C][Fr][&&][neb],"[34, 22, 36, 56, 36, 21, 54, 2, 56, 36, 20, 54, 22, 34, 20, 3, 56, 36, 20, 54, 22, 34, 20, 55, 56, 54, 2, 56, 54, 8, 56, 54, 7, 22, 34, 4, 89]",37,[:0alkene][C][C][Branch][N][=C][Branch][C][Branch][S][Ring1][Branch][pop][=S][pop][FrH0][pop][FrH0][pop][.][Fr][C][Ge][S][Ge][Branch2][Ring1][#Branch2][S][Ge][Branch1][Ring1][C][Fr][Branch1][#C][S][Ge][Branch1][Ring1][C][Fr][Branch1][Ring2][S][Ring1][#Branch2][S][Ring1][=N][S][Ring1][=C][C][Fr][&&][neb],"[11, 75, 75, 74, 101, 58, 74, 75, 74, 113, 110, 74, 148, 64, 148, 89, 148, 89, 148, 8, 90, 75, 92, 113, 92, 73, 110, 2, 113, 92, 72, 110, 75, 90, 72, 4, 113, 92, 72, 110, 75, 90, 72, 111, 113, 110, 2, 113, 110, 59, 113, 110, 58, 75, 90, 6, 146]",58,O=CC1([Fr])N=C([Fr])C(=S)S1
156,nbo_N547_edge212091,0.7990524884074209,[Cl][C][=C][Branch][C][=Branch][=C][Branch][:0pyridine][Ring1][Cl][pop][Ring2][Cl][pop][Ring1][FrH0][pop][pop][Ring1][Ring2][pop][Cl][pop][FrH0],[S][=C][=N][Co][Branch1][N][N][C][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch1][Ring2][N][=C][=S][Branch1][N][N][C][=C][Branch1][C][Fr][C][C][=C][Ring1][#Branch1][N][C][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1],nbo,"[62, 61, 52, 60, 61, 51, 52, 60, 20, 68, 62, 72, 69, 62, 72, 68, 64, 72, 72, 68, 69, 72, 62, 72, 64]",25,[S][=C][=N][Co][Branch1][N][N][C][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch1][Ring2][N][=C][=S][Branch1][N][N][C][=C][Branch1][C][Fr][C][C][=C][Ring1][#Branch1][N][C][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][&&][nbo],"[56, 7, 8, 26, 20, 45, 45, 22, 7, 22, 22, 20, 22, 34, 7, 54, 1, 20, 45, 45, 22, 7, 22, 22, 20, 22, 34, 7, 54, 1, 20, 55, 45, 7, 13, 20, 45, 45, 22, 7, 20, 22, 34, 22, 22, 7, 54, 1, 45, 22, 7, 22, 22, 20, 22, 34, 7, 54, 1, 4, 88]",61,[Cl][C][=C][Branch][C][=Branch][=C][Branch][:0pyridine][Ring1][Cl][pop][Ring2][Cl][pop][Ring1][FrH0][pop][pop][Ring1][Ring2][pop][Cl][pop][FrH0][.][S][=C][=N][Co][Branch1][N][N][C][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][Branch1][Ring2][N][=C][=S][Branch1][N][N][C][=C][Branch1][C][Fr][C][C][=C][Ring1][#Branch1][N][C][=C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][&&][nbo],"[79, 75, 58, 74, 75, 57, 58, 74, 24, 110, 79, 148, 111, 79, 148, 110, 89, 148, 148, 110, 111, 148, 79, 148, 89, 8, 113, 58, 59, 80, 72, 101, 101, 75, 58, 75, 75, 72, 75, 90, 58, 110, 1, 72, 101, 101, 75, 58, 75, 75, 72, 75, 90, 58, 110, 1, 72, 111, 101, 58, 64, 72, 101, 101, 75, 58, 72, 75, 90, 75, 75, 58, 110, 1, 101, 75, 58, 75, 75, 72, 75, 90, 58, 110, 1, 6, 145]",88,ClC1=C([Fr])C(Cl)=C1c1nc([Fr])c(Cl)cc1Cl
