MOFname,edge_group_selfie,node_selfie,topo,heat_of_adsorption_CO2_300_kJ_mol,tokenized_edge_selfies,edge_lens,node_plus_topo,tokenized_node_plus_topo,node_plus_topo_lens,mof_string,tokenized_mof_string,mof_string_lens,log_CO2_N2_selectivity
dmp_N307_edge201994,[:0O_nitrile][C][C][=C][C][=Branch][=C][S][:1benzenealcohol][=Branch][:0nitrile][pop][Ring1][Ring1][=Branch][pop][=Branch][FrH0][pop][pop][FrH0][pop],[Fr][C][=N][Cu][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr],dmp,-9.836294897,"[5, 56, 56, 49, 56, 48, 49, 65, 24, 48, 16, 66, 63, 63, 48, 66, 48, 59, 66, 66, 59, 66]",22,[Fr][C][=N][Cu][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][dmp],"[30, 20, 8, 25, 18, 47, 39, 7, 30, 18, 47, 39, 7, 30, 39, 7, 30, 4, 68]",19,[:0O_nitrile][C][C][=C][C][=Branch][=C][S][:1benzenealcohol][=Branch][:0nitrile][pop][Ring1][Ring1][=Branch][pop][=Branch][FrH0][pop][pop][FrH0][pop][.][Fr][C][=N][Cu][Branch1][Ring2][N][=C][Fr][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][dmp],"[9, 70, 70, 55, 70, 54, 55, 101, 28, 54, 20, 135, 99, 99, 54, 135, 54, 82, 135, 135, 82, 135, 7, 83, 70, 56, 76, 67, 100, 92, 55, 83, 67, 100, 92, 55, 83, 92, 55, 83, 5, 121]",43,1.010810085
unc_N2_edge51199,[P][N][C][C][Branch][N][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][P][pop][P][pop][P][pop][Branch][FrH0][pop][P],[Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1],unc,-9.55687548,"[62, 60, 56, 56, 55, 60, 55, 56, 55, 60, 55, 59, 66, 63, 48, 66, 55, 62, 66, 62, 66, 62, 66, 55, 59, 66, 62]",27,[Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][unc],"[30, 20, 20, 7, 39, 18, 18, 20, 20, 10, 5, 56, 18, 39, 39, 20, 7, 20, 18, 20, 30, 7, 20, 46, 1, 18, 39, 39, 20, 7, 20, 18, 20, 30, 20, 7, 46, 1, 39, 20, 7, 20, 18, 20, 30, 7, 20, 46, 1, 4, 91]",51,[P][N][C][C][Branch][N][Branch][C][Branch][N][Branch][FrH0][pop][Ring1][=Branch][pop][Branch][P][pop][P][pop][P][pop][Branch][FrH0][pop][P][.][Fr][C][C][=C][N][Branch1][Branch1][C][C][=Ring1][=Branch1][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][unc],"[95, 92, 70, 70, 69, 92, 69, 70, 69, 92, 69, 82, 135, 99, 54, 135, 69, 95, 135, 95, 135, 95, 135, 69, 82, 135, 95, 7, 83, 70, 70, 55, 92, 67, 67, 70, 70, 58, 52, 109, 67, 92, 92, 70, 55, 70, 67, 70, 83, 55, 70, 99, 1, 67, 92, 92, 70, 55, 70, 67, 70, 83, 70, 55, 99, 1, 92, 70, 55, 70, 67, 70, 83, 55, 70, 99, 1, 5, 145]",80,0.918659466
lcy_N125_edge126834,[N][:#1methyl_amine][Ring1][C][Branch][O][O][FrH0][pop][Branch][O][C][=C][C][C][O][FrH0][pop][:0nitrile][pop],[Fr][C][O][Cu][O][C][Branch1][C][Fr][O][Cu][Branch2][Ring1][#C][O][C][Branch1][C][Fr][O][Cu][Branch1][Ring2][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][S][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2],lcy,-10.02088597,"[60, 4, 63, 56, 55, 61, 61, 59, 66, 55, 61, 56, 49, 56, 56, 61, 59, 66, 16, 66]",20,[Fr][C][O][Cu][O][C][Branch1][C][Fr][O][Cu][Branch2][Ring1][#C][O][C][Branch1][C][Fr][O][Cu][Branch1][Ring2][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][S][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][lcy],"[30, 20, 41, 25, 41, 20, 18, 20, 30, 41, 25, 19, 46, 3, 41, 20, 18, 20, 30, 41, 25, 18, 47, 41, 46, 7, 18, 6, 41, 20, 18, 20, 30, 41, 46, 48, 41, 20, 18, 20, 30, 41, 46, 3, 41, 20, 18, 20, 30, 41, 47, 46, 19, 4, 74]",55,[N][:#1methyl_amine][Ring1][C][Branch][O][O][FrH0][pop][Branch][O][C][=C][C][C][O][FrH0][pop][:0nitrile][pop][.][Fr][C][O][Cu][O][C][Branch1][C][Fr][O][Cu][Branch2][Ring1][#C][O][C][Branch1][C][Fr][O][Cu][Branch1][Ring2][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][S][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch2][&&][lcy],"[92, 8, 99, 70, 69, 94, 94, 82, 135, 69, 94, 70, 55, 70, 70, 94, 82, 135, 20, 135, 7, 83, 70, 94, 76, 94, 70, 67, 70, 83, 94, 76, 68, 99, 4, 94, 70, 67, 70, 83, 94, 76, 67, 100, 94, 99, 55, 67, 53, 94, 70, 67, 70, 83, 94, 99, 101, 94, 70, 67, 70, 83, 94, 99, 4, 94, 70, 67, 70, 83, 94, 100, 99, 68, 5, 127]",77,0.989412997
unc_N507_edge72968,[O][O][C][=C][Branch][C][N][Branch][C][Branch][C][Branch][FrH0][pop][Ring1][=Branch][pop][O][O][pop][O][O][pop][FrH0],[O][=C][Branch1][C][Fr][O][Zn][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1],unc,-8.955519164,"[61, 61, 56, 49, 55, 56, 60, 55, 56, 55, 56, 55, 59, 66, 63, 48, 66, 61, 61, 66, 61, 61, 66, 59]",24,[O][=C][Branch1][C][Fr][O][Zn][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][unc],"[41, 7, 18, 20, 30, 41, 56, 19, 18, 20, 41, 20, 18, 20, 30, 41, 56, 18, 6, 41, 20, 18, 20, 30, 41, 46, 2, 18, 1, 41, 20, 18, 20, 30, 9, 18, 39, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 18, 39, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 4, 91]",85,[O][O][C][=C][Branch][C][N][Branch][C][Branch][C][Branch][FrH0][pop][Ring1][=Branch][pop][O][O][pop][O][O][pop][FrH0][.][O][=C][Branch1][C][Fr][O][Zn][Branch2][Branch1][C][O][C][Branch1][C][Fr][O][Zn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][unc],"[94, 94, 70, 55, 69, 70, 92, 69, 70, 69, 70, 69, 82, 135, 99, 54, 135, 94, 94, 135, 94, 94, 135, 82, 7, 94, 55, 67, 70, 83, 94, 109, 68, 67, 70, 94, 70, 67, 70, 83, 94, 109, 67, 53, 94, 70, 67, 70, 83, 94, 99, 2, 67, 1, 94, 70, 67, 70, 83, 57, 67, 92, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 67, 92, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 5, 145]",111,0.870522313
sra_N188_edge1213,[FrH0][C][Branch][C][C][Branch][C][Branch][O][C][pop][Branch][O][C][pop][C][Branch][C][=Branch][=C][=C][FrH0][pop][C][pop][Ring1][O][pop][O][C][pop][=Ring1][->][P],[Fr][C][=C][N][Branch1][=Branch1][C][=C][N][Ring1][=Branch1][Ag][Branch1][N][N][C][C][Branch1][C][Fr][=N][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][N][C][=C][Ring1][#Branch1][N][C][C][Branch1][C][Fr][=N][C][=C][Ring1][#Branch1],sra,-6.050100825,"[59, 56, 55, 56, 56, 55, 56, 55, 61, 56, 66, 55, 61, 56, 66, 56, 55, 56, 48, 49, 49, 59, 66, 56, 66, 63, 61, 66, 61, 56, 66, 52, 3, 62]",34,[Fr][C][=C][N][Branch1][=Branch1][C][=C][N][Ring1][=Branch1][Ag][Branch1][N][N][C][C][Branch1][C][Fr][=N][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][N][C][=C][Ring1][#Branch1][N][C][C][Branch1][C][Fr][=N][C][=C][Ring1][#Branch1][&&][sra],"[30, 20, 7, 39, 18, 5, 20, 7, 39, 46, 5, 13, 18, 39, 39, 20, 20, 18, 20, 30, 8, 20, 7, 46, 1, 18, 39, 39, 20, 7, 18, 20, 30, 39, 20, 7, 46, 1, 39, 20, 20, 18, 20, 30, 8, 20, 7, 46, 1, 4, 87]",51,[FrH0][C][Branch][C][C][Branch][C][Branch][O][C][pop][Branch][O][C][pop][C][Branch][C][=Branch][=C][=C][FrH0][pop][C][pop][Ring1][O][pop][O][C][pop][=Ring1][->][P][.][Fr][C][=C][N][Branch1][=Branch1][C][=C][N][Ring1][=Branch1][Ag][Branch1][N][N][C][C][Branch1][C][Fr][=N][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][Branch1][C][Fr][N][C][=C][Ring1][#Branch1][N][C][C][Branch1][C][Fr][=N][C][=C][Ring1][#Branch1][&&][sra],"[82, 70, 69, 70, 70, 69, 70, 69, 94, 70, 135, 69, 94, 70, 135, 70, 69, 70, 54, 55, 55, 82, 135, 70, 135, 99, 94, 135, 94, 70, 135, 58, 6, 95, 7, 83, 70, 55, 92, 67, 52, 70, 55, 92, 99, 52, 61, 67, 92, 92, 70, 70, 67, 70, 83, 56, 70, 55, 99, 1, 67, 92, 92, 70, 55, 67, 70, 83, 92, 70, 55, 99, 1, 92, 70, 70, 67, 70, 83, 56, 70, 55, 99, 1, 5, 141]",87,0.552232813
eta_N611_edge103851,[Br][C][Branch][C][Branch][C][C][C][FrH0][pop][Br][pop][Branch][C][Branch][FrH0][pop][Br][pop][O][:1alkyne],[BrH0][Cu][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1],eta,-4.75878305,"[54, 56, 55, 56, 55, 56, 56, 56, 59, 66, 54, 66, 55, 56, 55, 59, 66, 54, 66, 61, 22]",21,[BrH0][Cu][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][eta],"[17, 25, 18, 39, 39, 20, 7, 20, 18, 20, 30, 20, 7, 46, 1, 18, 39, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 4, 70]",41,[Br][C][Branch][C][Branch][C][C][C][FrH0][pop][Br][pop][Branch][C][Branch][FrH0][pop][Br][pop][O][:1alkyne][.][BrH0][Cu][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][eta],"[66, 70, 69, 70, 69, 70, 70, 70, 82, 135, 66, 135, 69, 70, 69, 82, 135, 66, 135, 94, 26, 7, 65, 76, 67, 92, 92, 70, 55, 70, 67, 70, 83, 70, 55, 99, 1, 67, 92, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 5, 123]",64,0.404589835
pcu_N240_edge159026,[:0alkene][C][C][Branch][C][Branch][C][=C][C][Branch][C][Ring1][Ring2][pop][=C][C][FrH0][pop][:0alkene][pop][FrH0][pop],[Fr][C][Branch1][C][C][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][O][C][Branch1][C][Fr][C],pcu,-12.71049848,"[6, 56, 56, 55, 56, 55, 56, 49, 56, 55, 56, 63, 64, 66, 49, 56, 59, 66, 6, 66, 59, 66]",22,[Fr][C][Branch1][C][C][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][O][C][Branch1][C][Fr][C][&&][pcu],"[30, 20, 18, 20, 20, 41, 23, 18, 1, 41, 20, 18, 20, 30, 20, 18, 1, 41, 20, 18, 20, 30, 20, 18, 1, 41, 20, 18, 20, 30, 20, 18, 1, 41, 20, 18, 20, 30, 20, 41, 20, 18, 20, 30, 20, 4, 81]",47,[:0alkene][C][C][Branch][C][Branch][C][=C][C][Branch][C][Ring1][Ring2][pop][=C][C][FrH0][pop][:0alkene][pop][FrH0][pop][.][Fr][C][Branch1][C][C][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][O][C][Branch1][C][Fr][C][&&][pcu],"[10, 70, 70, 69, 70, 69, 70, 55, 70, 69, 70, 99, 100, 135, 55, 70, 82, 135, 10, 135, 82, 135, 7, 83, 70, 67, 70, 70, 94, 74, 67, 1, 94, 70, 67, 70, 83, 70, 67, 1, 94, 70, 67, 70, 83, 70, 67, 1, 94, 70, 67, 70, 83, 70, 67, 1, 94, 70, 67, 70, 83, 70, 94, 70, 67, 70, 83, 70, 5, 134]",71,1.306068083
srs_N298_edge97006,[O][O][C][N][Branch][C][=C][N][Branch][N][N][Branch][O][O][pop][Ring1][#Branch][pop][FrH0][pop][FrH0],[ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1],srs,-3.628092411,"[61, 61, 56, 60, 55, 56, 49, 60, 55, 60, 60, 55, 61, 61, 66, 63, 1, 66, 59, 66, 59]",21,[ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][srs],"[22, 25, 18, 20, 22, 18, 39, 39, 20, 7, 20, 18, 20, 30, 7, 20, 46, 1, 18, 39, 39, 20, 7, 20, 18, 20, 30, 7, 20, 46, 1, 39, 20, 7, 20, 18, 20, 30, 7, 20, 46, 1, 4, 88]",44,[O][O][C][N][Branch][C][=C][N][Branch][N][N][Branch][O][O][pop][Ring1][#Branch][pop][FrH0][pop][FrH0][.][ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][srs],"[94, 94, 70, 92, 69, 70, 55, 92, 69, 92, 92, 69, 94, 94, 135, 99, 3, 135, 82, 135, 82, 7, 72, 76, 67, 70, 72, 67, 92, 92, 70, 55, 70, 67, 70, 83, 55, 70, 99, 1, 67, 92, 92, 70, 55, 70, 67, 70, 83, 55, 70, 99, 1, 92, 70, 55, 70, 67, 70, 83, 55, 70, 99, 1, 5, 142]",67,0.328762098
bnn_N572_edge102196,[:0alkene][C][C][=C][N][Branch][C][=C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop],[O][=C][Branch1][C][Fr][O][Sm][Branch1][C][O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O],bnn,-8.751336384,"[6, 56, 56, 49, 60, 55, 56, 49, 60, 55, 59, 66, 63, 48, 66, 59, 66]",17,[O][=C][Branch1][C][Fr][O][Sm][Branch1][C][O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O][&&][bnn],"[41, 7, 18, 20, 30, 41, 51, 18, 20, 41, 18, 1, 41, 20, 18, 20, 30, 9, 18, 6, 41, 20, 18, 20, 30, 41, 46, 2, 18, 6, 41, 20, 18, 20, 30, 41, 46, 7, 41, 20, 18, 20, 30, 9, 4, 61]",46,[:0alkene][C][C][=C][N][Branch][C][=C][N][Branch][FrH0][pop][Ring1][=Branch][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Sm][Branch1][C][O][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][O][C][Branch1][C][Fr][=O][&&][bnn],"[10, 70, 70, 55, 92, 69, 70, 55, 92, 69, 82, 135, 99, 54, 135, 82, 135, 7, 94, 55, 67, 70, 83, 94, 104, 67, 70, 94, 67, 1, 94, 70, 67, 70, 83, 57, 67, 53, 94, 70, 67, 70, 83, 94, 99, 2, 67, 53, 94, 70, 67, 70, 83, 94, 99, 55, 94, 70, 67, 70, 83, 57, 5, 114]",65,0.914965351
hex_N375_edge97442,[FrH0][N][C][Branch][C][=C][C][=Branch][=C][Ring1][Ring2][pop][FrH0][pop][:0methyl],[Fr][C][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring2][=N],hex,-14.44592056,"[59, 60, 56, 55, 56, 49, 56, 48, 49, 63, 64, 66, 59, 66, 14]",15,[Fr][C][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring2][=N][&&][hex],"[30, 20, 41, 21, 18, 39, 39, 20, 7, 20, 18, 20, 30, 7, 20, 46, 1, 18, 6, 41, 20, 18, 20, 30, 41, 46, 39, 18, 39, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 41, 20, 18, 20, 30, 41, 21, 18, 39, 39, 20, 7, 20, 18, 20, 30, 7, 20, 46, 1, 18, 6, 41, 20, 18, 20, 30, 41, 46, 39, 18, 39, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 41, 47, 47, 8, 4, 73]",89,[FrH0][N][C][Branch][C][=C][C][=Branch][=C][Ring1][Ring2][pop][FrH0][pop][:0methyl][.][Fr][C][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][C][Branch1][C][Fr][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring2][=N][&&][hex],"[82, 92, 70, 69, 70, 55, 70, 54, 55, 99, 100, 135, 82, 135, 18, 7, 83, 70, 94, 71, 67, 92, 92, 70, 55, 70, 67, 70, 83, 55, 70, 99, 1, 67, 53, 94, 70, 67, 70, 83, 94, 99, 92, 67, 92, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 94, 70, 67, 70, 83, 94, 71, 67, 92, 92, 70, 55, 70, 67, 70, 83, 55, 70, 99, 1, 67, 53, 94, 70, 67, 70, 83, 94, 99, 92, 67, 92, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 94, 100, 100, 56, 5, 126]",106,1.521330645
qtz_N219_edge143939,[Br][C][N][Branch][C][Branch][S][=Branch][=C][Branch][C][Branch][Br][pop][Branch][Br][pop][Ring1][=Branch][pop][FrH0][pop][Br][pop][Branch][Br][pop][Br][pop][FrH0],[Fr][C][=C][C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1],qtz,-7.838196677,"[54, 56, 60, 55, 56, 55, 65, 48, 49, 55, 56, 55, 54, 66, 55, 54, 66, 63, 48, 66, 59, 66, 54, 66, 55, 54, 66, 54, 66, 59]",30,[Fr][C][=C][C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][qtz],"[30, 20, 7, 20, 39, 18, 18, 20, 7, 46, 5, 13, 18, 39, 39, 20, 7, 20, 18, 20, 30, 7, 20, 46, 1, 18, 39, 39, 20, 7, 20, 18, 20, 30, 20, 7, 46, 1, 39, 20, 20, 7, 18, 20, 30, 20, 7, 46, 1, 4, 82]",51,[Br][C][N][Branch][C][Branch][S][=Branch][=C][Branch][C][Branch][Br][pop][Branch][Br][pop][Ring1][=Branch][pop][FrH0][pop][Br][pop][Branch][Br][pop][Br][pop][FrH0][.][Fr][C][=C][C][N][Branch1][Branch1][C][=C][Ring1][=Branch1][Ag][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][qtz],"[66, 70, 92, 69, 70, 69, 101, 54, 55, 69, 70, 69, 66, 135, 69, 66, 135, 99, 54, 135, 82, 135, 66, 135, 69, 66, 135, 66, 135, 82, 7, 83, 70, 55, 70, 92, 67, 67, 70, 55, 99, 52, 61, 67, 92, 92, 70, 55, 70, 67, 70, 83, 55, 70, 99, 1, 67, 92, 92, 70, 55, 70, 67, 70, 83, 70, 55, 99, 1, 92, 70, 70, 55, 67, 70, 83, 70, 55, 99, 1, 5, 136]",83,0.730887509
