MOFname,edge_group_selfie,node_selfie,topo,cp,tokenized_edge_selfies,edge_lens,node_plus_topo,tokenized_node_plus_topo,node_plus_topo_lens,mof_string,tokenized_mof_string,mof_string_lens
sxb_N593_edge70832,[:0sulfonic_acid][Ring1][C][=C][Branch][C][Branch][C][=Branch][=N][Ring1][Branch][pop][FrH0][pop][:1sulfonic_acid][pop][FrH0][pop],[O][=C][Branch1][C][Fr][O][Cd][Branch1][O][N][C][=N][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][N][=C][Ring1][=Branch1][Branch1][O][N][C][=N][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][N][C][N][Branch1][C][Fr][N][=C][Ring1][=Branch1],sxb,0.836318522,"[22, 68, 61, 52, 60, 61, 60, 61, 51, 53, 68, 60, 72, 64, 72, 32, 72, 64, 72]",19,[O][=C][Branch1][C][Fr][O][Cd][Branch1][O][N][C][=N][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][N][=C][Ring1][=Branch1][Branch1][O][N][C][=N][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][N][C][N][Branch1][C][Fr][N][=C][Ring1][=Branch1][&&][sxb],"[48, 7, 20, 22, 34, 48, 23, 20, 48, 45, 22, 8, 45, 20, 22, 34, 22, 54, 5, 20, 48, 45, 22, 45, 20, 22, 34, 45, 7, 54, 5, 20, 48, 45, 22, 8, 45, 20, 22, 34, 22, 54, 5, 20, 1, 48, 22, 20, 22, 34, 9, 45, 22, 45, 20, 22, 34, 45, 7, 54, 5, 4, 98]",63,[:0sulfonic_acid][Ring1][C][=C][Branch][C][Branch][C][=Branch][=N][Ring1][Branch][pop][FrH0][pop][:1sulfonic_acid][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Cd][Branch1][O][N][C][=N][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][O][N][C][N][Branch1][C][Fr][N][=C][Ring1][=Branch1][Branch1][O][N][C][=N][N][Branch1][C][Fr][C][Ring1][=Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][N][C][N][Branch1][C][Fr][N][=C][Ring1][=Branch1][&&][sxb],"[26, 110, 75, 58, 74, 75, 74, 75, 57, 59, 110, 74, 148, 89, 148, 36, 148, 89, 148, 8, 104, 58, 72, 75, 90, 104, 76, 72, 104, 101, 75, 59, 101, 72, 75, 90, 75, 110, 55, 72, 104, 101, 75, 101, 72, 75, 90, 101, 58, 110, 55, 72, 104, 101, 75, 59, 101, 72, 75, 90, 75, 110, 55, 72, 1, 104, 75, 72, 75, 90, 60, 101, 75, 101, 72, 75, 90, 101, 58, 110, 55, 6, 156]",84
dmp_N234_edge82977,[:0isocyanate][C][C][C][=Branch][=C][N][Branch][C][Branch][C][Branch][:0isocyanate][pop][Ring1][=Branch][pop][:0isocyanate][pop][FrH0][pop][FrH0][pop],[Fr][C][=N][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][Ring2][N][=C][Fr][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][Ring2][N][=C][Fr][N][=C][Fr],dmp,0.842942712,"[14, 61, 61, 61, 51, 52, 65, 60, 61, 60, 61, 60, 14, 72, 68, 51, 72, 14, 72, 64, 72, 64, 72]",23,[Fr][C][=N][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][Ring2][N][=C][Fr][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][dmp],"[34, 22, 8, 65, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 20, 55, 45, 7, 34, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 20, 55, 45, 7, 34, 45, 7, 34, 4, 77]",45,[:0isocyanate][C][C][C][=Branch][=C][N][Branch][C][Branch][C][Branch][:0isocyanate][pop][Ring1][=Branch][pop][:0isocyanate][pop][FrH0][pop][FrH0][pop][.][Fr][C][=N][Zn][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][Ring2][N][=C][Fr][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][Ring2][N][=C][Fr][N][=C][Fr][&&][dmp],"[18, 75, 75, 75, 57, 58, 101, 74, 75, 74, 75, 74, 18, 148, 110, 57, 148, 18, 148, 89, 148, 89, 148, 8, 90, 75, 59, 122, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 72, 111, 101, 58, 90, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 72, 111, 101, 58, 90, 101, 58, 90, 6, 134]",70
eta_N346_edge118999,[FrH0][C][=Branch][=C][:0benzene][Branch][:1alkyne][pop][Ring2][FrH0][pop][pop][:1alkyne],[Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C],eta,0.68344166,"[64, 61, 51, 52, 9, 60, 23, 72, 69, 64, 72, 72, 23]",13,[Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][&&][eta],"[34, 22, 48, 23, 20, 55, 48, 54, 55, 48, 22, 20, 22, 34, 48, 23, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 48, 22, 20, 22, 34, 48, 54, 3, 4, 79]",36,[FrH0][C][=Branch][=C][:0benzene][Branch][:1alkyne][pop][Ring2][FrH0][pop][pop][:1alkyne][.][Fr][C][O][Cd][Branch1][Ring2][O][Ring1][Ring2][O][C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][O][C][Branch1][C][Fr][O][Ring1][#C][&&][eta],"[89, 75, 57, 58, 13, 74, 27, 148, 111, 89, 148, 148, 27, 8, 90, 75, 104, 76, 72, 111, 104, 110, 111, 104, 75, 72, 75, 90, 104, 76, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 104, 75, 72, 75, 90, 104, 110, 4, 6, 136]",51
rob_N240_edge62832,[O][O][C][N][C][Branch][C][=C][Branch][FrH0][pop][Ring1][Branch][pop][Branch][O][O][pop][FrH0],[Fr][C][Branch1][C][C][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][O][C][Branch1][C][Fr][C],rob,1.025266959,"[66, 66, 61, 65, 61, 60, 61, 52, 60, 64, 72, 68, 60, 72, 60, 66, 66, 72, 64]",19,[Fr][C][Branch1][C][C][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][O][C][Branch1][C][Fr][C][&&][rob],"[34, 22, 20, 22, 22, 48, 26, 20, 1, 48, 22, 20, 22, 34, 22, 20, 1, 48, 22, 20, 22, 34, 22, 20, 1, 48, 22, 20, 22, 34, 22, 20, 1, 48, 22, 20, 22, 34, 22, 48, 22, 20, 22, 34, 22, 4, 94]",47,[O][O][C][N][C][Branch][C][=C][Branch][FrH0][pop][Ring1][Branch][pop][Branch][O][O][pop][FrH0][.][Fr][C][Branch1][C][C][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][Branch1][#Branch1][O][C][Branch1][C][Fr][C][O][C][Branch1][C][Fr][C][&&][rob],"[104, 104, 75, 101, 75, 74, 75, 58, 74, 89, 148, 110, 74, 148, 74, 104, 104, 148, 89, 8, 90, 75, 72, 75, 75, 104, 80, 72, 1, 104, 75, 72, 75, 90, 75, 72, 1, 104, 75, 72, 75, 90, 75, 72, 1, 104, 75, 72, 75, 90, 75, 72, 1, 104, 75, 72, 75, 90, 75, 104, 75, 72, 75, 90, 75, 6, 152]",68
ths_N298_edge92250,[FrH0][C][=S][Branch][N][Branch][C][Branch][:0benzene][pop][Ring1][Ring2][pop][FrH0][pop][:0benzene],[ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1],ths,0.896371979,"[64, 61, 58, 60, 65, 60, 61, 60, 9, 72, 68, 69, 72, 64, 72, 9]",16,[ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][ths],"[25, 28, 20, 22, 25, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 4, 99]",44,[FrH0][C][=S][Branch][N][Branch][C][Branch][:0benzene][pop][Ring1][Ring2][pop][FrH0][pop][:0benzene][.][ClH0][Cu][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][ths],"[89, 75, 64, 74, 101, 74, 75, 74, 13, 148, 110, 111, 148, 89, 148, 13, 8, 78, 82, 72, 75, 78, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 6, 157]",62
crs_N314_edge183975,[N][C][=Branch][=C][:0benzene][Ring2][N][pop][Ring1][C][=C][Branch][FrH0][pop][N][pop][Ring1][N][pop][Ring1][N][pop][pop][FrH0],[O][S][Branch1][C][Fr][Branch1][C][O][O][Ni][Branch1][#Branch2][O][S][Branch1][C][Fr][Branch1][C][O][O][Branch1][O][N][C][C][Branch1][C][Fr][=C][N][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][C][N][Ring1][=Branch1][Branch1][O][N][C][C][Branch1][C][Fr][=C][N][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][C][N][Ring1][=Branch1],crs,1.022959652,"[65, 61, 51, 52, 9, 69, 65, 72, 68, 61, 52, 60, 64, 72, 65, 72, 68, 65, 72, 68, 65, 72, 72, 64]",24,[O][S][Branch1][C][Fr][Branch1][C][O][O][Ni][Branch1][#Branch2][O][S][Branch1][C][Fr][Branch1][C][O][O][Branch1][O][N][C][C][Branch1][C][Fr][=C][N][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][C][N][Ring1][=Branch1][Branch1][O][N][C][C][Branch1][C][Fr][=C][N][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][C][N][Ring1][=Branch1][&&][crs],"[48, 56, 20, 22, 34, 20, 22, 48, 48, 47, 20, 2, 48, 56, 20, 22, 34, 20, 22, 48, 48, 20, 48, 45, 22, 22, 20, 22, 34, 7, 45, 54, 5, 20, 48, 45, 22, 7, 20, 22, 34, 22, 45, 54, 5, 20, 48, 45, 22, 22, 20, 22, 34, 7, 45, 54, 5, 45, 22, 7, 20, 22, 34, 22, 45, 54, 5, 4, 74]",69,[N][C][=Branch][=C][:0benzene][Ring2][N][pop][Ring1][C][=C][Branch][FrH0][pop][N][pop][Ring1][N][pop][Ring1][N][pop][pop][FrH0][.][O][S][Branch1][C][Fr][Branch1][C][O][O][Ni][Branch1][#Branch2][O][S][Branch1][C][Fr][Branch1][C][O][O][Branch1][O][N][C][C][Branch1][C][Fr][=C][N][Ring1][=Branch1][Branch1][O][N][C][=C][Branch1][C][Fr][C][N][Ring1][=Branch1][Branch1][O][N][C][C][Branch1][C][Fr][=C][N][Ring1][=Branch1][N][C][=C][Branch1][C][Fr][C][N][Ring1][=Branch1][&&][crs],"[101, 75, 57, 58, 13, 111, 101, 148, 110, 75, 58, 74, 89, 148, 101, 148, 110, 101, 148, 110, 101, 148, 148, 89, 8, 104, 113, 72, 75, 90, 72, 75, 104, 104, 103, 72, 2, 104, 113, 72, 75, 90, 72, 75, 104, 104, 72, 104, 101, 75, 75, 72, 75, 90, 58, 101, 110, 55, 72, 104, 101, 75, 58, 72, 75, 90, 75, 101, 110, 55, 72, 104, 101, 75, 75, 72, 75, 90, 58, 101, 110, 55, 101, 75, 58, 72, 75, 90, 75, 101, 110, 55, 6, 131]",95
hex_N178_edge164777,[N][C][=C][Branch][C][C][=Branch][=C][Ring1][Branch][pop][FrH0][pop][:1alkyne][Ring1][C][Branch][FrH0][pop][Branch][N][pop][N][pop],[Fr][C][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch2][Ring2][S][O][C][Branch1][C][Fr][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring1][#C][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1],hex,1.012282063,"[65, 61, 52, 60, 61, 61, 51, 52, 68, 60, 72, 64, 72, 23, 68, 61, 60, 64, 72, 60, 65, 72, 65, 72]",24,[Fr][C][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch2][Ring2][S][O][C][Branch1][C][Fr][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring1][#C][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][hex],"[34, 22, 48, 43, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 21, 55, 56, 48, 22, 20, 22, 34, 48, 43, 20, 6, 48, 22, 20, 22, 34, 48, 54, 20, 20, 45, 45, 22, 7, 22, 20, 22, 34, 22, 7, 54, 1, 20, 45, 45, 22, 7, 22, 20, 22, 34, 22, 7, 54, 1, 48, 55, 54, 3, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 4, 82]",90,[N][C][=C][Branch][C][C][=Branch][=C][Ring1][Branch][pop][FrH0][pop][:1alkyne][Ring1][C][Branch][FrH0][pop][Branch][N][pop][N][pop][.][Fr][C][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch2][Ring2][S][O][C][Branch1][C][Fr][O][Mn][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][O][Ring2][Ring1][#C][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][hex],"[101, 75, 58, 74, 75, 75, 57, 58, 110, 74, 148, 89, 148, 27, 110, 75, 74, 89, 148, 74, 101, 148, 101, 148, 8, 90, 75, 104, 99, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 73, 111, 113, 104, 75, 72, 75, 90, 104, 99, 72, 56, 104, 75, 72, 75, 90, 104, 110, 72, 72, 101, 101, 75, 58, 75, 72, 75, 90, 75, 58, 110, 1, 72, 101, 101, 75, 58, 75, 72, 75, 90, 75, 58, 110, 1, 104, 111, 110, 4, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 6, 139]",116
acs_N308_edge139175,[O][S][Branch][N][Branch][C][C][=C][C][=Branch][=C][Ring1][Ring2][pop][FrH0][pop][C][FrH0][pop][Branch][O][pop][O],[O][=C][Branch1][C][Fr][O][Gd][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1],acs,0.710848869,"[66, 71, 60, 65, 60, 61, 61, 52, 61, 51, 52, 68, 69, 72, 64, 72, 61, 64, 72, 60, 66, 72, 66]",23,[O][=C][Branch1][C][Fr][O][Gd][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][acs],"[48, 7, 20, 22, 34, 48, 35, 48, 22, 20, 22, 34, 48, 35, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 20, 6, 48, 22, 20, 22, 34, 48, 54, 7, 20, 6, 48, 22, 20, 22, 34, 48, 54, 8, 48, 22, 20, 22, 34, 48, 55, 54, 5, 4, 66]",55,[O][S][Branch][N][Branch][C][C][=C][C][=Branch][=C][Ring1][Ring2][pop][FrH0][pop][C][FrH0][pop][Branch][O][pop][O][.][O][=C][Branch1][C][Fr][O][Gd][O][C][Branch1][C][Fr][O][Gd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=N][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][acs],"[104, 113, 74, 101, 74, 75, 75, 58, 75, 57, 58, 110, 111, 148, 89, 148, 75, 89, 148, 74, 104, 148, 104, 8, 104, 58, 72, 75, 90, 104, 91, 104, 75, 72, 75, 90, 104, 91, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 72, 56, 104, 75, 72, 75, 90, 104, 110, 58, 72, 56, 104, 75, 72, 75, 90, 104, 110, 59, 104, 75, 72, 75, 90, 104, 111, 110, 55, 6, 123]",80
utk_N117_edge61930,[FrH0][C][=C][Branch][C][Branch][C][Branch][:0propyl][pop][Branch][:0propyl][pop][FrH0][pop][S][C][Ring1][N][pop][:0propyl],[Fr][C][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][O][Ring1][#C],utk,0.949637884,"[64, 61, 52, 60, 61, 60, 61, 60, 19, 72, 60, 19, 72, 64, 72, 71, 61, 68, 65, 72, 19]",21,[Fr][C][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][O][Ring1][#C][&&][utk],"[34, 22, 48, 23, 20, 45, 45, 22, 7, 22, 20, 22, 34, 22, 7, 54, 1, 20, 6, 48, 22, 20, 22, 34, 48, 54, 45, 48, 54, 3, 4, 101]",32,[FrH0][C][=C][Branch][C][Branch][C][Branch][:0propyl][pop][Branch][:0propyl][pop][FrH0][pop][S][C][Ring1][N][pop][:0propyl][.][Fr][C][O][Cd][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][O][Ring1][#C][&&][utk],"[89, 75, 58, 74, 75, 74, 75, 74, 23, 148, 74, 23, 148, 89, 148, 113, 75, 110, 101, 148, 23, 8, 90, 75, 104, 76, 72, 101, 101, 75, 58, 75, 72, 75, 90, 75, 58, 110, 1, 72, 56, 104, 75, 72, 75, 90, 104, 110, 101, 104, 110, 4, 6, 159]",55
cds_N376_edge60444,[P][C][Branch][C][=S][Branch][C][Branch][C][Branch][P][pop][Branch][P][pop][Ring1][Branch][pop][Branch][P][pop][P][pop][FrH0][pop][FrH0],[IH0][Cd][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][IH0],cds,0.596751921,"[67, 61, 60, 61, 58, 60, 61, 60, 61, 60, 67, 72, 60, 67, 72, 68, 60, 72, 60, 67, 72, 67, 72, 64, 72, 64]",26,[IH0][Cd][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][IH0][&&][cds],"[38, 23, 20, 45, 45, 22, 22, 7, 20, 22, 34, 22, 7, 54, 1, 20, 45, 45, 22, 7, 22, 20, 22, 34, 22, 7, 54, 1, 20, 45, 45, 22, 7, 22, 20, 22, 34, 22, 7, 54, 1, 20, 45, 45, 22, 7, 22, 20, 22, 34, 7, 22, 54, 1, 38, 4, 72]",57,[P][C][Branch][C][=S][Branch][C][Branch][C][Branch][P][pop][Branch][P][pop][Ring1][Branch][pop][Branch][P][pop][P][pop][FrH0][pop][FrH0][.][IH0][Cd][Branch1][N][N][C][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][IH0][&&][cds],"[105, 75, 74, 75, 64, 74, 75, 74, 75, 74, 105, 148, 74, 105, 148, 110, 74, 148, 74, 105, 148, 105, 148, 89, 148, 89, 8, 94, 76, 72, 101, 101, 75, 75, 58, 72, 75, 90, 75, 58, 110, 1, 72, 101, 101, 75, 58, 75, 72, 75, 90, 75, 58, 110, 1, 72, 101, 101, 75, 58, 75, 72, 75, 90, 75, 58, 110, 1, 72, 101, 101, 75, 58, 75, 72, 75, 90, 58, 75, 110, 1, 94, 6, 129]",85
crs_N491_edge138753,[O][C][Branch][C][Branch][O][FrH0][pop][O][pop][=C][C][Branch][C][O][FrH0][pop][Branch][O][pop][O],[Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][Ring2][O][Ring1][=N][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1],crs,0.914261928,"[66, 61, 60, 61, 60, 66, 64, 72, 66, 72, 52, 61, 60, 61, 66, 64, 72, 60, 66, 72, 66]",21,[Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][Ring2][O][Ring1][=N][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][crs],"[34, 22, 48, 26, 48, 22, 20, 22, 34, 48, 26, 20, 6, 48, 22, 20, 22, 34, 48, 54, 2, 20, 55, 48, 54, 8, 48, 22, 20, 22, 34, 48, 26, 20, 6, 48, 22, 20, 22, 34, 48, 54, 3, 48, 22, 20, 22, 34, 48, 55, 54, 54, 4, 74]",54,[O][C][Branch][C][Branch][O][FrH0][pop][O][pop][=C][C][Branch][C][O][FrH0][pop][Branch][O][pop][O][.][Fr][C][O][Co][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][Ring2][O][Ring1][=N][O][C][Branch1][C][Fr][O][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#C][O][C][Branch1][C][Fr][O][Ring2][Ring1][Ring1][&&][crs],"[104, 75, 74, 75, 74, 104, 89, 148, 104, 148, 58, 75, 74, 75, 104, 89, 148, 74, 104, 148, 104, 8, 90, 75, 104, 80, 104, 75, 72, 75, 90, 104, 80, 72, 56, 104, 75, 72, 75, 90, 104, 110, 2, 72, 111, 104, 110, 59, 104, 75, 72, 75, 90, 104, 80, 72, 56, 104, 75, 72, 75, 90, 104, 110, 4, 104, 75, 72, 75, 90, 104, 111, 110, 110, 6, 131]",77
